ocid,id,date,buyer_id,buyer_name,contracts_id,contracts_status,contracts_awardID,contracts_value_amount,contracts_value_currency,contracts_dateSigned,planning_budget_amount
ocds-5wno2w-CE-20200001858541-93666,CE-20200001858541-93666-2021-11-23T08:24:18.614Z,2020-05-26T00:00:00-05:00,EC-RUC-0460003230001,HOSPITAL GENERALPROVINCIAL LUIS G DAVILA,CE-20200001858541-contract,terminated,CE-20200001858541,,,,
ocds-5wno2w-CE-20200001858542-93666,CE-20200001858542-93666-2021-11-23T08:24:18.631Z,2020-05-26T00:00:00-05:00,EC-RUC-0460003230001,HOSPITAL GENERALPROVINCIAL LUIS G DAVILA,CE-20200001858542-contract,terminated,CE-20200001858542,,,,
ocds-5wno2w-CE-20200001858543-93666,CE-20200001858543-93666-2021-11-23T08:24:18.647Z,2020-05-26T00:00:00-05:00,EC-RUC-0460003230001,HOSPITAL GENERALPROVINCIAL LUIS G DAVILA,CE-20200001858543-contract,terminated,CE-20200001858543,,,,
ocds-5wno2w-CE-20200001858545-93666,CE-20200001858545-93666-2021-11-23T08:24:18.666Z,2020-05-26T00:00:00-05:00,EC-RUC-0460003230001,HOSPITAL GENERALPROVINCIAL LUIS G DAVILA,CE-20200001858545-contract,terminated,CE-20200001858545,,,,
ocds-5wno2w-CE-20200001858546-93666,CE-20200001858546-93666-2021-11-23T08:24:18.683Z,2020-05-26T00:00:00-05:00,EC-RUC-0460003230001,HOSPITAL GENERALPROVINCIAL LUIS G DAVILA,CE-20200001858546-contract,terminated,CE-20200001858546,,,,
ocds-5wno2w-CE-20200001858547-93666,CE-20200001858547-93666-2021-11-23T08:24:18.700Z,2020-05-26T00:00:00-05:00,EC-RUC-0460003230001,HOSPITAL GENERALPROVINCIAL LUIS G DAVILA,CE-20200001858547-contract,terminated,CE-20200001858547,,,,
ocds-5wno2w-CE-20200001858548-93666,CE-20200001858548-93666-2021-11-23T08:24:18.718Z,2020-05-26T00:00:00-05:00,EC-RUC-0460003230001,HOSPITAL GENERALPROVINCIAL LUIS G DAVILA,CE-20200001858548-contract,terminated,CE-20200001858548,,,,
ocds-5wno2w-CE-20200001858565-102915,CE-20200001858565-102915-2021-11-23T08:24:18.741Z,2020-05-26T00:00:00-05:00,EC-RUC-1768019800001,BATALLON DE INFANTERIA NO. 21 MACARA,CE-20200001858565-contract,terminated,CE-20200001858565,,,,
ocds-5wno2w-CE-20200001858566-110960,CE-20200001858566-110960-2021-11-23T08:24:18.766Z,2020-05-26T00:00:00-05:00,EC-RUC-0360018360001,GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL SAN FRANCISCO DE GUALLETURO,CE-20200001858566-contract,terminated,CE-20200001858566,,,,
ocds-5wno2w-CE-20200001858567-41357,CE-20200001858567-41357-2021-11-23T08:24:18.794Z,2020-05-26T00:00:00-05:00,EC-RUC-1760003410001,GOBIERNO AUTONOMO DESCENTRALIZADO DEL DISTRITO METROPOLITANO DE QUITO,CE-20200001858567-contract,terminated,CE-20200001858567,,,,
